"id","label","desc","literature","wkt","certainty","certaintyinfo","relatedto","relatedtohow","source","sourcetype","spatialtype","methodtype","agent","methoddesc"
5,"Castelcivita Cave","CI findspot related from literature","Fedele et al., 2008;Giaccio et al., 2008","POINT(15.2092 40.4956)","fsl:high","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q3777120;http://openstreetmap.org/node/337519639","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 337519639"
6,"Copecchia","CI findspot related from literature","Rosi et al., 1999","POINT(14.7662 40.7198)","fsl:medium","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q3690987;http://openstreetmap.org/node/4371325110","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 4371325110"
10,"Marina di Cassano (Naples)","CI findspot related from literature","Civetta et al., 1997","POINT(14.3998 40.6385)","fsl:medium","findspot mentioned in a scientific paper","http://sws.geonames.org/11961630;http://openstreetmap.org/node/566221732","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Bight ","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
19,"Paglicci Cave","CI findspot related from literature","Giaccio et al., 2008","POINT(15.6150 41.6541)","fsl:medium","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q3777010;http://openstreetmap.org/node/2293681037","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave;fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 2293681037"
27,"Sant‘ Agata dei due Golfi","CI findspot related from literature","Civetta et al., 1997","POINT(14.3733 40.6070)","fsl:medium","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q1860399;http://openstreetmap.org/node/705576753","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:InhabitedPlace","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 705576753"
28,"Sant‘ Angelo a Scala","CI findspot related from literature","Rosi et al., 1999","POINT(14.7402 40.9746)","fsl:medium","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q55100;http://openstreetmap.org/node/68567290","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:InhabitedPlace","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 68567290"
42,"Kozarnika Cave (Bulgaria)","CI findspot related from literature","Lowe et al., 2012","POINT(22.7024 43.6519)","fsl:high","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q2037533;http://openstreetmap.org/node/8814442373","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
43,"Temnata Cave (Bulgaria)","CI findspot related from literature","Fedele et al., 2008, 2003;Fitzsimmons et al., 2013;Giaccio et al., 2008","POINT(23.3848 43.0892)","fsl:high","findspot mentioned in a scientific paper","http://sws.geonames.org/726486;http://openstreetmap.org/node/369821847;http://wikidata.org/entity/Q12296153","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
44,"Toplitsa Cave (Bulgaria)","CI findspot related from literature","Tsanova et al., 2021","POINT(24.0053 43.1907)","fsl:high","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q61788595;http://openstreetmap.org/node/11109379095","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave;fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using Tsanova et al., 2021, p.2"
45,"Franchthi Cave (Greece)","CI findspot related from literature","Fedele et al., 2003","POINT(23.1311 37.4226)","fsl:high","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q1441331;http://openstreetmap.org/node/1221172611","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave;fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 1221172611"
48,"Susak Island (Greece)","CI findspot related from literature","Wacha, 2011","POINT(14.2921 44.5104)","fsl:medium","findspot mentioned in a scientific paper","http://sws.geonames.org/3189468;http://openstreetmap.org/relation/9854999","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Island","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
50,"Golema Pesht Cave near Zdunje (Macedonia)","CI findspot related from literature","Lowe et al., 2012","POINT(21.1617 41.8117)","fsl:dubious","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q20565511;http://openstreetmap.org/node/11107939919","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave;fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
51,"Crvena Stiljena (Montenegro)","CI findspot related from literature","Morley & Woodward, 2011","POINT(18.4815 42.7790) ","fsl:high","findspot mentioned in a scientific paper","http://openstreetmap.org/node/10879170567;http://wikidata.org/entity/Q121418883","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave;fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
52,"Urluia (Romania)","CI findspot related from literature","Fitzsimmons et al., 2014, 2013;Obreht et al., 2017;Pötter et al., 2021","POINT(27.9021 44.0947)","fsl:medium","findspot mentioned in a scientific paper","http://sws.geonames.org/664132","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:InhabitedPlace","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
54,"Vlasca (Romania)","CI findspot related from literature","Obreht et al., 2017","POINT(27.8491 44.3921)","fsl:medium","findspot mentioned in a scientific paper","http://sws.geonames.org/662562","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
55,"Lower Danube Basin (Romania)","CI findspot related from literature","Obreht et al., 2017","POINT(25.2920 43.6550)","fsl:low","findspot mentioned in a scientific paper","http://sws.geonames.org/791630","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:Plateau","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using Google Maps and Obdreht et al (2017), Fig. 1"
65,"Haua-Fteah (Libya)","CI findspot related from literature","Lowe et al., 2012","POINT(22.0516 32.9002)","fsl:high","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q25226810;http://openstreetmap.org/node/7778324735","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave;fsl:ArchaeologicalSite","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 7778324735"
22,"Phlegraean Fields","CI findspot related from literature","Orsi et al., 1996;Fedele et al., 2003","POINT(14.1402 40.8275) ","fsl:medium","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q755123;http://openstreetmap.org/node/10879170567","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Supervolcano","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204;https://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 4948370721"
24,"Pozzuoli Bay","CI findspot related from literature","Orsi et al., 1996","POINT(14.0890 40.8215)","fsl:medium","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q386701;http://openstreetmap.org/relation/8222525","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Bight ","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
